TRADE_DATE,HOUR,MARKET,RES_TYPE,TYPE,VALUE
2023-01-16,20,RTD,LESR,EN,902.657
2023-01-16,21,RTD,LESR,EN,261.244
2023-01-16,22,RTD,LESR,EN,17.43
2023-01-16,23,RTD,LESR,EN,-118.981
2023-01-16,24,RTD,LESR,EN,-152.947
2023-01-17,1,RTD,LESR,EN,-266.157
2023-01-17,2,RTD,LESR,EN,-375.895
2023-01-17,3,RTD,LESR,EN,-326.68
2023-01-17,4,RTD,LESR,EN,-70.376
2023-01-17,5,RTD,LESR,EN,723.47
2023-01-17,6,RTD,LESR,EN,1990.865
2023-01-17,7,RTD,LESR,EN,2100.968
2023-01-17,8,RTD,LESR,EN,500.764
2023-01-17,9,RTD,LESR,EN,-943.177
2023-01-17,10,RTD,LESR,EN,-1604.467
2023-01-17,11,RTD,LESR,EN,-2139.239
2023-01-17,12,RTD,LESR,EN,-2303.472
2023-01-17,13,RTD,LESR,EN,-1554.931
2023-01-17,14,RTD,LESR,EN,-1003.181
2023-01-17,15,RTD,LESR,EN,-751.182
2023-01-17,16,RTD,LESR,EN,800.406
2023-01-17,17,RTD,LESR,EN,2744.649
2023-01-17,18,RTD,LESR,EN,2924.504
2023-01-17,19,RTD,LESR,EN,1950.047
2023-01-17,20,RTD,LESR,EN,1281.924
2023-01-17,21,RTD,LESR,EN,529.566
2023-01-17,22,RTD,LESR,EN,98.397
2023-01-17,23,RTD,LESR,EN,33.625
2023-01-17,24,RTD,LESR,EN,-118.002
2023-01-18,1,RTD,LESR,EN,-289.975
2023-01-18,2,RTD,LESR,EN,-276.08
2023-01-18,3,RTD,LESR,EN,-357.471
2023-01-18,4,RTD,LESR,EN,-311.637
2023-01-18,5,RTD,LESR,EN,77.33
2023-01-18,6,RTD,LESR,EN,1463.87
2023-01-18,7,RTD,LESR,EN,1471.521
2023-01-18,8,RTD,LESR,EN,664.558
2023-01-18,9,RTD,LESR,EN,-756.054
2023-01-18,10,RTD,LESR,EN,-1626.483
2023-01-18,11,RTD,LESR,EN,-2431.552
2023-01-18,12,RTD,LESR,EN,-2662.359
2023-01-18,13,RTD,LESR,EN,-2501.997
2023-01-18,14,RTD,LESR,EN,-1006.509
2023-01-18,15,RTD,LESR,EN,-529.29
2023-01-18,16,RTD,LESR,EN,-109.184
2023-01-18,17,RTD,LESR,EN,2315.204
2023-01-18,18,RTD,LESR,EN,2123.416
2023-01-18,19,RTD,LESR,EN,2437.663
2023-01-18,20,RTD,LESR,EN,1711.218
2023-01-18,21,RTD,LESR,EN,1077.89
2023-01-18,22,RTD,LESR,EN,457.857
2023-01-18,23,RTD,LESR,EN,217.647
2023-01-18,24,RTD,LESR,EN,289.932
2023-01-19,1,RTD,LESR,EN,38.149
2023-01-19,2,RTD,LESR,EN,-136.988
2023-01-19,3,RTD,LESR,EN,-604.62
2023-01-19,4,RTD,LESR,EN,-464.15
2023-01-19,5,RTD,LESR,EN,156.286
2023-01-19,6,RTD,LESR,EN,788.932
2023-01-19,7,RTD,LESR,EN,1550.781
2023-01-19,8,RTD,LESR,EN,499.335
2023-01-19,9,RTD,LESR,EN,-361.473
2023-01-19,10,RTD,LESR,EN,-1245.44
2023-01-19,11,RTD,LESR,EN,-1689.767
2023-01-19,12,RTD,LESR,EN,-1651.604
2023-01-19,13,RTD,LESR,EN,-1802.333
2023-01-19,14,RTD,LESR,EN,-1387.42
2023-01-19,15,RTD,LESR,EN,-687.224
2023-01-19,16,RTD,LESR,EN,247.403
2023-01-19,17,RTD,LESR,EN,1386.52
2023-01-19,18,RTD,LESR,EN,2312.029
2023-01-19,19,RTD,LESR,EN,1382.427
2023-01-19,20,RTD,LESR,EN,1318.857
2023-01-19,21,RTD,LESR,EN,1275.651
2023-01-19,22,RTD,LESR,EN,830.906
2023-01-19,23,RTD,LESR,EN,221.471
2023-01-19,24,RTD,LESR,EN,124.965
2023-01-20,1,RTD,LESR,EN,13.181
2023-01-20,2,RTD,LESR,EN,-205.01
2023-01-20,3,RTD,LESR,EN,-281.546
2023-01-20,4,RTD,LESR,EN,-194.21
2023-01-20,5,RTD,LESR,EN,986.948
2023-01-20,6,RTD,LESR,EN,1659.957
2023-01-20,7,RTD,LESR,EN,1741.961
2023-01-20,8,RTD,LESR,EN,611.104
2023-01-20,9,RTD,LESR,EN,-813.5
2023-01-20,10,RTD,LESR,EN,-1317.378
2023-01-20,11,RTD,LESR,EN,-2121.669
2023-01-20,12,RTD,LESR,EN,-2711.043
2023-01-20,13,RTD,LESR,EN,-2350.67
2023-01-20,14,RTD,LESR,EN,-1406.709
2023-01-20,15,RTD,LESR,EN,-56.08
2023-01-20,16,RTD,LESR,EN,-139.292
2023-01-20,17,RTD,LESR,EN,1775.667
2023-01-20,18,RTD,LESR,EN,2167.352
2023-01-20,19,RTD,LESR,EN,2157.261
2023-01-20,20,RTD,LESR,EN,1634.059
2023-01-20,21,RTD,LESR,EN,1049.925
2023-01-20,22,RTD,LESR,EN,713.623
2023-01-20,23,RTD,LESR,EN,224.289
2023-01-20,24,RTD,LESR,EN,-11.973
2023-01-21,1,RTD,LESR,EN,788.53
2023-01-21,2,RTD,LESR,EN,32.196
2023-01-21,3,RTD,LESR,EN,67.923
2023-01-21,4,RTD,LESR,EN,1.519
2023-01-21,5,RTD,LESR,EN,414.111
2023-01-21,6,RTD,LESR,EN,821.212
2023-01-21,7,RTD,LESR,EN,962.216
2023-01-21,8,RTD,LESR,EN,-39.14
2023-01-21,9,RTD,LESR,EN,-1088.526
2023-01-21,10,RTD,LESR,EN,-1337.578
2023-01-21,11,RTD,LESR,EN,-1761.674
2023-01-21,12,RTD,LESR,EN,-2385.531
2023-01-21,13,RTD,LESR,EN,-1826.908
2023-01-21,14,RTD,LESR,EN,-1362.156
2023-01-21,15,RTD,LESR,EN,-750.555
2023-01-21,16,RTD,LESR,EN,32.17
2023-01-21,17,RTD,LESR,EN,1330.673
2023-01-21,18,RTD,LESR,EN,1723.001
2023-01-21,19,RTD,LESR,EN,1515.209
2023-01-21,20,RTD,LESR,EN,1237.368
2023-01-21,21,RTD,LESR,EN,593.292
2023-01-21,22,RTD,LESR,EN,349.217
2023-01-21,23,RTD,LESR,EN,299.964
2023-01-21,24,RTD,LESR,EN,438.77
2023-01-22,1,RTD,LESR,EN,410.615
2023-01-22,2,RTD,LESR,EN,326.655
2023-01-22,3,RTD,LESR,EN,328.614
2023-01-22,4,RTD,LESR,EN,48.818
2023-01-22,5,RTD,LESR,EN,189.413
2023-01-22,6,RTD,LESR,EN,939.031
2023-01-22,7,RTD,LESR,EN,1452.087
2023-01-22,8,RTD,LESR,EN,151.285
2023-01-22,9,RTD,LESR,EN,-256.476
2023-01-22,10,RTD,LESR,EN,-860.15
2023-01-22,11,RTD,LESR,EN,-1947.018
2023-01-22,12,RTD,LESR,EN,-1805.645
2023-01-22,13,RTD,LESR,EN,-1733.07
2023-01-22,14,RTD,LESR,EN,-849.711
2023-01-22,15,RTD,LESR,EN,-310.56
2023-01-22,16,RTD,LESR,EN,327.445
2023-01-22,17,RTD,LESR,EN,1892.08
2023-01-22,18,RTD,LESR,EN,2243.072
2023-01-22,19,RTD,LESR,EN,2495.721
2023-01-22,20,RTD,LESR,EN,2501.16
2023-01-22,21,RTD,LESR,EN,1245.824
2023-01-22,22,RTD,LESR,EN,861.471
2023-01-22,23,RTD,LESR,EN,246.583
2023-01-22,24,RTD,LESR,EN,-233.992
2023-01-23,1,RTD,LESR,EN,130.915
2023-01-23,2,RTD,LESR,EN,-28.724
2023-01-23,3,RTD,LESR,EN,-254.851
2023-01-23,4,RTD,LESR,EN,-104.956
2023-01-23,5,RTD,LESR,EN,248.38
2023-01-23,6,RTD,LESR,EN,812.167
2023-01-23,7,RTD,LESR,EN,1287.492
2023-01-23,8,RTD,LESR,EN,366.593
2023-01-23,9,RTD,LESR,EN,-542.746
2023-01-23,10,RTD,LESR,EN,-1065.103
2023-01-23,11,RTD,LESR,EN,-1971.225
2023-01-23,12,RTD,LESR,EN,-2603.99
2023-01-23,13,RTD,LESR,EN,-2666.187
2023-01-23,14,RTD,LESR,EN,-1182.22
2023-01-23,15,RTD,LESR,EN,-101.104
2023-01-23,16,RTD,LESR,EN,510.211
2023-01-23,17,RTD,LESR,EN,2375.43
2023-01-23,18,RTD,LESR,EN,2659.323
2023-01-23,19,RTD,LESR,EN,1950.726
2023-01-23,20,RTD,LESR,EN,1549.751
2023-01-23,21,RTD,LESR,EN,613.608
2023-01-23,22,RTD,LESR,EN,308.15
2023-01-23,23,RTD,LESR,EN,-3.322
2023-01-23,24,RTD,LESR,EN,-216.789
2023-01-24,1,RTD,LESR,EN,-41.476
2023-01-24,2,RTD,LESR,EN,46.818
2023-01-24,3,RTD,LESR,EN,185.007
2023-01-24,4,RTD,LESR,EN,450.904
2023-01-24,5,RTD,LESR,EN,605.994
2023-01-24,6,RTD,LESR,EN,1563.468
