TRADE_DATE,HOUR,MARKET,RES_TYPE,TYPE,VALUE
2023-01-11,1,RTD,LESR,SOC,7445.510833333334
2023-01-11,2,RTD,LESR,SOC,7539.223166666667
2023-01-11,3,RTD,LESR,SOC,7858.151833333333
2023-01-11,4,RTD,LESR,SOC,8312.487416666667
2023-01-11,5,RTD,LESR,SOC,8517.692166666666
2023-01-11,6,RTD,LESR,SOC,8239.960000000001
2023-01-11,7,RTD,LESR,SOC,7008.723083333333
2023-01-11,8,RTD,LESR,SOC,5509.338500000001
2023-01-11,9,RTD,LESR,SOC,5172.337500000001
2023-01-11,10,RTD,LESR,SOC,5476.796416666667
2023-01-11,11,RTD,LESR,SOC,6518.0794166666665
2023-01-11,12,RTD,LESR,SOC,7480.885833333334
2023-01-11,13,RTD,LESR,SOC,8418.471666666666
2023-01-11,14,RTD,LESR,SOC,9099.985916666667
2023-01-11,15,RTD,LESR,SOC,10035.082083333333
2023-01-11,16,RTD,LESR,SOC,10625.657583333334
2023-01-11,17,RTD,LESR,SOC,10463.7475
2023-01-11,18,RTD,LESR,SOC,9427.444916666667
2023-01-11,19,RTD,LESR,SOC,8073.035416666667
2023-01-11,20,RTD,LESR,SOC,7056.532666666667
2023-01-11,21,RTD,LESR,SOC,6545.63375
2023-01-11,22,RTD,LESR,SOC,6255.220666666667
2023-01-11,23,RTD,LESR,SOC,6273.510916666666
2023-01-12,1,RTD,LESR,SOC,6406.387333333333
2023-01-12,2,RTD,LESR,SOC,6708.103416666666
2023-01-12,3,RTD,LESR,SOC,7132.593250000001
2023-01-12,4,RTD,LESR,SOC,7561.488833333333
2023-01-12,5,RTD,LESR,SOC,7659.10225
2023-01-12,6,RTD,LESR,SOC,7272.300083333333
2023-01-12,7,RTD,LESR,SOC,6113.07875
2023-01-12,8,RTD,LESR,SOC,4673.568916666666
2023-01-12,9,RTD,LESR,SOC,4801.327
2023-01-12,10,RTD,LESR,SOC,6073.000666666667
2023-01-12,11,RTD,LESR,SOC,7711.903833333334
2023-01-12,12,RTD,LESR,SOC,9728.58875
2023-01-12,13,RTD,LESR,SOC,11615.361833333334
2023-01-12,14,RTD,LESR,SOC,12883.094
2023-01-12,15,RTD,LESR,SOC,13514.070916666666
2023-01-12,16,RTD,LESR,SOC,13700.505416666667
2023-01-12,17,RTD,LESR,SOC,13370.0415
2023-01-12,18,RTD,LESR,SOC,12453.357583333333
2023-01-12,19,RTD,LESR,SOC,10921.120833333332
2023-01-12,20,RTD,LESR,SOC,9315.387083333333
2023-01-12,21,RTD,LESR,SOC,8409.111916666667
2023-01-12,22,RTD,LESR,SOC,8079.207333333333
2023-01-12,23,RTD,LESR,SOC,7905.028666666666
2023-01-12,24,RTD,LESR,SOC,8019.695500000001
2023-01-13,1,RTD,LESR,SOC,8353.404666666667
2023-01-13,2,RTD,LESR,SOC,8760.78425
2023-01-13,3,RTD,LESR,SOC,9205.738833333333
2023-01-13,4,RTD,LESR,SOC,9406.750416666668
2023-01-13,5,RTD,LESR,SOC,9349.296833333334
2023-01-13,6,RTD,LESR,SOC,9063.056166666667
